測鎢,潠備,�梪�,羲攫歎(啋),郔詢歎(啋),郔腴歎(啋),彶攫歎(啋),傖蝠講(嘖),
688381.SH,著兜峚,2023-03-20,41.6,41.69,38.3,39.16,7513492,
688381.SH,著兜峚,2023-03-21,39.38,39.97,39,39.52,3027900,
688381.SH,著兜峚,2023-03-22,39.52,39.88,38.81,39.31,2135272,
688381.SH,著兜峚,2023-03-23,39.15,41.49,39.09,41.27,4152817,
688381.SH,著兜峚,2023-03-24,41.01,42.3,40.35,40.89,3719917,
688381.SH,著兜峚,2023-03-27,41.42,43.44,40.93,42.44,5286138,
688381.SH,著兜峚,2023-03-28,42.1,42.1,39.8,39.88,3877092,
688381.SH,著兜峚,2023-03-29,39.85,41.28,39.02,40.33,3444651,
688381.SH,著兜峚,2023-03-30,40.37,41.88,40.22,41.38,4091952,
688381.SH,著兜峚,2023-03-31,41.59,41.59,40.05,40.76,3125951,
688381.SH,著兜峚,2023-04-03,40.98,42.81,40.9,42.5,4977985,
688381.SH,著兜峚,2023-04-04,42.6,43.29,41.82,42.28,4630734,
688381.SH,著兜峚,2023-04-06,42.17,44.82,42.17,43.6,5508742,
688381.SH,著兜峚,2023-04-07,43.77,44.61,43.13,44.28,3746042,
688381.SH,著兜峚,2023-04-10,44.79,45.66,43.46,43.92,5289315,
688381.SH,著兜峚,2023-04-11,43.77,45.67,43.63,44.7,3666163,
688381.SH,著兜峚,2023-04-12,44.4,46.88,44.18,46.25,4686111,
688381.SH,著兜峚,2023-04-13,46.99,48.71,45.05,45.05,6464713,
688381.SH,著兜峚,2023-04-14,45.01,46.95,43.97,46.93,6097265,
688381.SH,著兜峚,2023-04-17,46.61,47.12,44.85,45.16,3887106,
688381.SH,著兜峚,2023-04-18,44.78,45.45,43.61,44.39,3099530,
688381.SH,著兜峚,2023-04-19,44.39,45.58,43.69,44.8,3260986,
688381.SH,著兜峚,2023-04-20,44.3,45.65,43.88,45.27,3318783,
688381.SH,著兜峚,2023-04-21,44.8,45,41.62,41.63,5294588,
688381.SH,著兜峚,2023-04-24,40,41.25,39.28,41.2,4172011,
688381.SH,著兜峚,2023-04-25,41.3,41.3,37.8,38.06,3493492,
688381.SH,著兜峚,2023-04-26,38.04,38.5,35.52,36.35,3165163,
688381.SH,著兜峚,2023-04-27,36.01,36.88,35.56,35.72,1665935,
688381.SH,著兜峚,2023-04-28,35.65,38.12,35.65,37.6,2803711,
688381.SH,著兜峚,2023-05-04,37.36,37.79,36.28,36.51,2038756,
688381.SH,著兜峚,2023-05-05,36.78,37.5,35.21,35.35,1792064,
688381.SH,著兜峚,2023-05-08,35.48,35.79,34.6,35.4,1235420,
688381.SH,著兜峚,2023-05-09,35.5,35.52,34.02,34.05,2022558,
688381.SH,著兜峚,2023-05-10,34.05,35.74,33.8,34.9,2744519,
